CarbMonox1,1.9299070721553298
CarbMonox2,1.5259056363272794
CarbMonox3,2.066344994483753
CarbMonox4,1.228489514833485
CarbMonox5,1.8266618829129009
NitDiox1,1.4742271399936995
NitDiox2,1.8758735065513565
NitDiox3,1.8117321294706237
NitDiox4,0.8238888070937873
NitDiox5,2.435302315367565
Ozone1,2.623243236147644
Ozone2,1.6139122482834518
Ozone3,1.4158464069823018
Ozone4,1.8337802200828714
Ozone5,1.806484464853137
PM1,1.5049399044929215
PM2,1.023126020620049
PM3,1.2887405653949286
PM4,2.197464802285019
PM5,1.208854205603597
SulphDiox1,1.846984019503114
SulphDiox2,1.4684238468761683
SulphDiox3,1.8421207810315847
SulphDiox4,1.8449430789538432
SulphDiox5,0.921640204987638
